updated_at,year,month,day,from,to,value
31.12.2021 08:15:00,2019,6,,NL,PL,13.0
31.12.2021 08:15:00,2019,7,,NL,PL,16.0
31.12.2021 08:15:00,2019,8,,NL,PL,18.0
31.12.2021 08:15:00,2019,9,,NL,PL,25.0
31.12.2021 08:15:00,2019,10,,NL,PL,16.0
31.12.2021 08:15:00,2019,11,,NL,PL,18.0
31.12.2021 08:15:00,2019,12,,NL,PL,24.0
31.12.2021 08:15:00,2019,1,,NL,IT,22.0
31.12.2021 08:15:00,2019,2,,NL,IT,6.0
31.12.2021 08:15:00,2019,3,,NL,IT,5.0
31.12.2021 08:15:00,2019,4,,NL,IT,11.0
31.12.2021 08:15:00,2019,5,,NL,IT,14.0
31.12.2021 08:15:00,2019,6,,NL,IT,8.0
31.12.2021 08:15:00,2019,7,,NL,IT,9.0
31.12.2021 08:15:00,2019,8,,NL,IT,18.0
31.12.2021 08:15:00,2019,9,,NL,IT,36.0
31.12.2021 08:15:00,2019,10,,NL,IT,20.0
31.12.2021 08:15:00,2019,11,,NL,IT,11.0
31.12.2021 08:15:00,2019,12,,NL,IT,11.0
31.12.2021 08:15:00,2019,1,,NL,BE,25.0
31.12.2021 08:15:00,2019,2,,NL,BE,9.0
31.12.2021 08:15:00,2019,3,,NL,BE,14.0
31.12.2021 08:15:00,2019,4,,NL,BE,32.0
31.12.2021 08:15:00,2019,5,,NL,BE,27.0
31.12.2021 08:15:00,2019,6,,NL,BE,25.0
31.12.2021 08:15:00,2019,7,,NL,BE,24.0
31.12.2021 08:15:00,2019,8,,NL,BE,26.0
31.12.2021 08:15:00,2019,9,,NL,BE,41.0
31.12.2021 08:15:00,2019,10,,NL,BE,23.0
31.12.2021 08:15:00,2019,11,,NL,BE,22.0
31.12.2021 08:15:00,2019,12,,NL,BE,26.0
31.12.2021 08:15:00,2019,1,,NL,ES,13.0
31.12.2021 08:15:00,2019,2,,NL,ES,4.0
31.12.2021 08:15:00,2019,3,,NL,ES,7.0
31.12.2021 08:15:00,2019,4,,NL,ES,8.0
31.12.2021 08:15:00,2019,5,,NL,ES,9.0
31.12.2021 08:15:00,2019,6,,NL,ES,12.0
31.12.2021 08:15:00,2019,7,,NL,ES,21.0
31.12.2021 08:15:00,2019,8,,NL,ES,24.0
31.12.2021 08:15:00,2019,9,,NL,ES,54.0
